Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2019,Place of Residence,91324,2500 - 2999 grams,64,11/10/2025
Birth,2019,Place of Residence,91324,3000 - 3499 grams,115,11/10/2025
Birth,2019,Place of Residence,91324,3500 - 3999 grams,62,11/10/2025
Birth,2019,Place of Residence,91324,4000 - 5999 grams,23,11/10/2025
Birth,2019,Place of Residence,91324,Unreliable/Unknown,<11,11/10/2025
Birth,2019,Place of Residence,91325,500 - 999 grams,0,11/10/2025
Birth,2019,Place of Residence,91325,1000 - 1499 grams,<11,11/10/2025
Birth,2019,Place of Residence,91325,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91325,2000 - 2499 grams,12,11/10/2025
Birth,2019,Place of Residence,91325,2500 - 2999 grams,56,11/10/2025
Birth,2019,Place of Residence,91325,3000 - 3499 grams,131,11/10/2025
Birth,2019,Place of Residence,91325,3500 - 3999 grams,82,11/10/2025
Birth,2019,Place of Residence,91325,4000 - 5999 grams,19,11/10/2025
Birth,2019,Place of Residence,91325,Unreliable/Unknown,<11,11/10/2025
Birth,2019,Place of Residence,91326,500 - 999 grams,0,11/10/2025
Birth,2019,Place of Residence,91326,1000 - 1499 grams,0,11/10/2025
Birth,2019,Place of Residence,91326,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91326,2000 - 2499 grams,12,11/10/2025
Birth,2019,Place of Residence,91326,2500 - 2999 grams,58,11/10/2025
Birth,2019,Place of Residence,91326,3000 - 3499 grams,117,11/10/2025
Birth,2019,Place of Residence,91326,3500 - 3999 grams,76,11/10/2025
Birth,2019,Place of Residence,91326,4000 - 5999 grams,20,11/10/2025
Birth,2019,Place of Residence,91326,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,91330,500 - 999 grams,0,11/10/2025
Birth,2019,Place of Residence,91330,1000 - 1499 grams,0,11/10/2025
Birth,2019,Place of Residence,91330,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91330,2000 - 2499 grams,0,11/10/2025
Birth,2019,Place of Residence,91330,2500 - 2999 grams,0,11/10/2025
Birth,2019,Place of Residence,91330,3000 - 3499 grams,<11,11/10/2025
Birth,2019,Place of Residence,91330,3500 - 3999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91330,4000 - 5999 grams,0,11/10/2025
Birth,2019,Place of Residence,91330,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,91331,500 - 999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91331,1000 - 1499 grams,<11,11/10/2025
Birth,2019,Place of Residence,91331,1500 - 1999 grams,17,11/10/2025
Birth,2019,Place of Residence,91331,2000 - 2499 grams,59,11/10/2025
Birth,2019,Place of Residence,91331,2500 - 2999 grams,218,11/10/2025
Birth,2019,Place of Residence,91331,3000 - 3499 grams,489,11/10/2025
Birth,2019,Place of Residence,91331,3500 - 3999 grams,329,11/10/2025
Birth,2019,Place of Residence,91331,4000 - 5999 grams,73,11/10/2025
Birth,2019,Place of Residence,91331,Unreliable/Unknown,<11,11/10/2025
Birth,2018,Place of Residence,91311,500 - 999 grams,0,11/10/2025
Birth,2018,Place of Residence,91311,1000 - 1499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91311,1500 - 1999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91311,2000 - 2499 grams,15,11/10/2025
Birth,2018,Place of Residence,91311,2500 - 2999 grams,66,11/10/2025
Birth,2018,Place of Residence,91311,3000 - 3499 grams,131,11/10/2025
Birth,2018,Place of Residence,91311,3500 - 3999 grams,81,11/10/2025
Birth,2018,Place of Residence,91311,4000 - 5999 grams,15,11/10/2025
Birth,2018,Place of Residence,91311,Unreliable/Unknown,0,11/10/2025
Birth,2018,Place of Residence,91316,500 - 999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91316,1000 - 1499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91316,1500 - 1999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91316,2000 - 2499 grams,18,11/10/2025
Birth,2018,Place of Residence,91316,2500 - 2999 grams,79,11/10/2025
Birth,2018,Place of Residence,91316,3000 - 3499 grams,131,11/10/2025
Birth,2018,Place of Residence,91316,3500 - 3999 grams,85,11/10/2025
Birth,2018,Place of Residence,91316,4000 - 5999 grams,20,11/10/2025
Birth,2018,Place of Residence,91316,Unreliable/Unknown,0,11/10/2025
Birth,2018,Place of Residence,91324,500 - 999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91324,1000 - 1499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91324,1500 - 1999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91324,2000 - 2499 grams,14,11/10/2025
Birth,2018,Place of Residence,91324,2500 - 2999 grams,50,11/10/2025
Birth,2018,Place of Residence,91324,3000 - 3499 grams,108,11/10/2025
Birth,2018,Place of Residence,91324,3500 - 3999 grams,71,11/10/2025
Birth,2018,Place of Residence,91324,4000 - 5999 grams,15,11/10/2025
Birth,2018,Place of Residence,91324,Unreliable/Unknown,<11,11/10/2025
Birth,2018,Place of Residence,91325,500 - 999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91325,1000 - 1499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91325,1500 - 1999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91325,2000 - 2499 grams,19,11/10/2025
Birth,2018,Place of Residence,91325,2500 - 2999 grams,59,11/10/2025
Birth,2018,Place of Residence,91325,3000 - 3499 grams,138,11/10/2025
Birth,2018,Place of Residence,91325,3500 - 3999 grams,85,11/10/2025
Birth,2018,Place of Residence,91325,4000 - 5999 grams,14,11/10/2025
Birth,2018,Place of Residence,91325,Unreliable/Unknown,<11,11/10/2025
Birth,2018,Place of Residence,91326,500 - 999 grams,0,11/10/2025
Birth,2018,Place of Residence,91326,1000 - 1499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91326,1500 - 1999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91326,2000 - 2499 grams,16,11/10/2025
Birth,2018,Place of Residence,91326,2500 - 2999 grams,48,11/10/2025
Birth,2018,Place of Residence,91326,3000 - 3499 grams,132,11/10/2025
Birth,2018,Place of Residence,91326,3500 - 3999 grams,74,11/10/2025
Birth,2018,Place of Residence,91326,4000 - 5999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91326,Unreliable/Unknown,0,11/10/2025
Birth,2018,Place of Residence,91330,500 - 999 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,1000 - 1499 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,1500 - 1999 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,2000 - 2499 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,2500 - 2999 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,3000 - 3499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91330,3500 - 3999 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,4000 - 5999 grams,0,11/10/2025
Birth,2018,Place of Residence,91330,Unreliable/Unknown,0,11/10/2025
Birth,2018,Place of Residence,91331,500 - 999 grams,<11,11/10/2025
Birth,2018,Place of Residence,91331,1000 - 1499 grams,<11,11/10/2025
Birth,2018,Place of Residence,91331,1500 - 1999 grams,18,11/10/2025
Birth,2018,Place of Residence,91331,2000 - 2499 grams,61,11/10/2025
Birth,2018,Place of Residence,91331,2500 - 2999 grams,230,11/10/2025
Birth,2018,Place of Residence,91331,3000 - 3499 grams,526,11/10/2025
Birth,2018,Place of Residence,91331,3500 - 3999 grams,323,11/10/2025
Birth,2018,Place of Residence,91331,4000 - 5999 grams,98,11/10/2025
Birth,2018,Place of Residence,91331,Unreliable/Unknown,<11,11/10/2025
